Date,best_bid_amount,best_ask_amount,estimated_delivery_price,bid_iv,ask_iv,underlying_index,underlying_price,mark_iv,best_bid_price,best_ask_price,interest_rate,open_interest,max_price,min_price,last_price,settlement_price,instrument_name,mark_price,index_price,state,timestamp,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,strike,expiration_date,dte,spot,option_type,mid_price,mark_price_usd,mid_price_usd,time
24/2/2024,379,38,2963.17,32.49,37.92,SYN.ETH-26FEB24,2965.3672,35,0.012,0.0135,0,265,0.042,0.0001,0.012,0.014653,ETH-26FEB24-2950-C,0.0127,2963.17,open,1.71E+12,0.0859,-7.79805,0.81934,0.00528,0.58767,15718.19,363,-22.5806,0.009,0.0195,2950,26/2/2024 16:00,1,2961.23,put,0.01275,37.607621,37.7556825,52:16.1
24/2/2024,242,82,2963.17,33.62,37.18,SYN.ETH-26FEB24,2965.3672,35.42,0.008,0.009,0,454,0.0365,0.0001,0.008,0.010552,ETH-26FEB24-2975-C,0.0085,2963.17,open,1.71E+12,0.0665,-8.03223,0.83402,0.00532,0.45366,9801.77,372,-36,0.008,0.0125,2975,26/2/2024 16:00,1,2961.23,put,0.0085,25.170455,25.170455,52:16.1
24/2/2024,313,9,2963.17,34.22,36.18,SYN.ETH-26FEB24,2965.3672,35.87,0.005,0.0055,0,2175,0.0315,0.0001,0.0046,0.007226,ETH-26FEB24-3000-C,0.0054,2963.17,open,1.71E+12,0.04831,-7.42377,0.76111,0.00479,0.32878,57470.04,2318,-45.8824,0.0044,0.0105,3000,26/2/2024 16:00,1,2961.23,put,0.00525,15.990642,15.5464575,52:16.1
24/2/2024,25,29,2963.17,34.96,37.32,SYN.ETH-26FEB24,2965.3672,36.39,0.003,0.0035,0,149,0.027,0.0001,0.0032,0.004775,ETH-26FEB24-3025-C,0.0033,2963.17,open,1.71E+12,0.03301,-6.23495,0.63009,0.00391,0.22427,2172.08,165,-36,0.0029,0.0065,3025,26/2/2024 16:00,1,2961.23,put,0.00325,9.772059,9.6239975,52:16.1
24/2/2024,25,20,2963.16,35.54,38.03,SYN.ETH-26FEB24,2965.3272,37.08,0.0017,0.0021,0,287,0.023,0.0001,0.002,0.003032,ETH-26FEB24-3050-C,0.0019,2963.16,open,1.71E+12,0.02142,-4.84352,0.48046,0.00293,0.14533,3370.8,289,-63.6364,0.002,0.006,3050,26/2/2024 16:00,1,2961.23,put,0.0019,5.626337,5.626337,52:16.1
24/2/2024,13,14,2963.17,36.83,39.39,SYN.ETH-26FEB24,2965.3672,38.21,0.001,0.0013,0,37,0.02,0.0001,0.0011,0.001888,ETH-26FEB24-3075-C,0.0012,2963.17,open,1.71E+12,0.01366,-3.43316,0.34906,0.00206,0.09259,318.93,41,-56,0.0011,0.0029,3075,26/2/2024 16:00,1,2961.23,put,0.00115,3.553476,3.4054145,52:16.1
24/2/2024,27,28,2963.17,38.34,41.84,SYN.ETH-26FEB24,2965.3672,40.68,0.0006,0.0009,0,514,0.018,0.0001,0.001,0.001162,ETH-26FEB24-3100-C,0.0008,2963.17,open,1.71E+12,0.00942,-2.35191,0.26313,0.00146,0.06383,3640.4,554,-66.6667,0.0007,0.003,3100,26/2/2024 16:00,1,2961.23,put,0.00075,2.368984,2.2209225,52:16.1
24/2/2024,35,55,2963.17,40.56,45.13,SYN.ETH-26FEB24,2965.3672,43.25,0.0004,0.0007,0,7,0.0165,0.0001,0.0004,0.000746,ETH-26FEB24-3125-C,0.0006,2963.17,open,1.71E+12,0.00667,-1.67488,0.20037,0.00105,0.04524,9.43,6,-63.6364,0.0004,0.0011,3125,26/2/2024 16:00,1,2961.23,put,0.00055,1.776738,1.6286765,52:16.1
24/2/2024,70,135,2963.16,43.43,49.02,SYN.ETH-26FEB24,2965.3272,46.22,0.0003,0.0006,0,151,0.0155,0.0001,0.0003,0.000504,ETH-26FEB24-3150-C,0.0004,2963.16,open,1.71E+12,0.00501,-1.28787,0.15874,0.00078,0.03398,235.1,153,-78.5714,0.0003,0.0014,3150,26/2/2024 16:00,1,2961.23,put,0.00045,1.184492,1.3325535,52:16.1
24/2/2024,169,154,2963.16,48.12,52.39,SYN.ETH-26FEB24,2965.3272,50.68,0.0003,0.0005,0,357,0.0155,0.0001,0.0005,0.000377,ETH-26FEB24-3175-C,0.0004,2963.16,open,1.71E+12,0.00441,-1.22199,0.14306,0.00064,0.02996,1279.75,352,-66.6667,0.0005,0.0015,3175,26/2/2024 16:00,1,2961.23,put,0.0004,1.184492,1.184492,52:16.1
24/2/2024,15,13,2963.16,52.72,55.18,SYN.ETH-26FEB24,2965.3272,54.54,0.0003,0.0004,0,107,0.015,0.0001,0.0003,0.000287,ETH-26FEB24-3200-C,0.0004,2963.16,open,1.71E+12,0.00378,-1.10431,0.12591,0.00052,0.0257,130.07,114,-50,0.0003,0.0006,3200,26/2/2024 16:00,1,2961.23,put,0.00035,1.184492,1.0364305,52:16.1
24/2/2024,2,109,2963.16,61.63,64.39,SYN.ETH-26FEB24,2965.3272,60.53,0.0003,0.0004,0,208,0.015,0.0001,0.0003,0.000221,ETH-26FEB24-3250-C,0.0003,2963.16,open,1.71E+12,0.00255,-0.78558,0.09023,0.00034,0.01734,171.53,185,-25,0.0002,0.0004,3250,26/2/2024 16:00,1,2961.23,put,0.00035,0.888369,1.0364305,52:16.1
24/2/2024,10,111,2963.16,60.97,73.27,SYN.ETH-26FEB24,2965.3272,67.89,0.0001,0.0004,0,30,0.015,0.0001,0.0001,0.00028,ETH-26FEB24-3300-C,0.0002,2963.16,open,1.71E+12,0.00207,-0.69763,0.0755,0.00025,0.01408,13.8,30,-50,0.0001,0.0002,3300,26/2/2024 16:00,1,2961.23,put,0.00025,0.592246,0.7403075,52:16.1
